scaffold1	scaffold2	connections
788	9326	33
1639	1828	10
183	2099	19
1367	536	3
10021	1628	2
1639	2090	15
82	9326	35
1048	5435	4
27	9576	28
1156	8868	2
11851	8467	29
121	499	14
144	527	2
10890	9706	13
12895	13334	39
5296	892	9
3627	9326	38
9267	9577	3
1671	82	2
242	854	15
243	3943	12
13396	1552	2
392	742	4
137	7955	46
13752	4326	9
2375	78	7
536	7672	43
2506	8104	5
36	9326	35
150	841	2
443	5910	8
1497	44	29
6884	739	10
10220	187	96
5442	8221	7
11936	896	35
3879	7672	5
249	454	43
14	161	3
443	534	18
1280	777	3
2100	3398	9
5932	8479	52
217	389	4
152	65	10
3106	5374	11
1828	838	2
10506	55	17
26	31	4
13714	424	208
2090	2313	25
2443	3867	20
147	8896	16
975	975	195
1053	1131	21
10428	727	23
3398	3819	7
3005	4326	30
1273	4072	10
2187	8495	8
424	622	25
1098	5533	31
2443	710	30
4596	76	12
184	2647	14
18	406	13
104	1312	16
6156	68	17
1048	548	32
1194	2869	5
1194	1828	6
2470	3418	5
28	7933	14
116	7933	18
3938	4851	16
4457	4846	14
515	887	344
2313	3398	13
144	82	3
10438	116	9
3237	6952	21
164	78	4
3576	8167	4
557	8040	9
10749	12227	20
2117	8246	3
219	9350	14
3092	5494	9
3206	5185	4
12228	55	6
2056	9326	8
12502	713	2
1752	492	24
70	712	4
10438	615	14
10438	3679	5
535	658	125
235	266	11
389	527	6
2266	5382	16
355	732	11
1535	7384	14
3992	4455	4
2736	630	2
7933	9326	11
107	464	46
1162	1476	5
1303	884	42
4	83	11
244	7922	3
5094	5580	3
130	781	26
330	814	9
10506	128	23
1237	187	55
6637	746	15
10749	6129	23
4529	6970	28
113	12486	8
536	6680	2
19	6884	14
11789	18	72
4455	5382	3
12196	4167	2
248	9707	10
11884	4457	23
148	187	482
3917	8495	5
196	527	11
3866	4455	56
47	626	2
1817	90	4
454	6073	32
22	2649	19
1120	828	25
180	7877	40
10438	39	7
2876	9306	30
107	382	54
158	2750	23
327	440	7
10963	377	26
2796	3576	61
1233	465	12
1795	777	44
1194	954	9
189	376	2
2451	53	2
2271	557	15
14354	75	23
356	734	15
1137	34	9
1749	253	9
5435	802	2
11089	60	40
6144	9577	2
2457	6391	16
2419	2643	82
1529	2954	3
2796	326	86
11650	2330	2
205	7933	2
196	2065	26
143	531	25
612	7586	111
54	641	22
2201	7	2
243	495	6
1542	4279	24
6826	990	10
2511	3337	2
12228	164	16
130	299	2
7216	835	32
11789	2451	5
3243	3938	32
4145	8755	30
12486	304	57
1097	11789	41
3106	3311	47
50	6826	21
142	6784	24
122	93	27
7125	7933	10
1958	2414	24
1233	8952	110
55	682	2
577	731	14
103	12502	17
3435	636	3
1390	391	24
4978	715	24
6138	6187	28
1281	133	35
3772	7027	3
12502	253	55
1005	5918	22
6073	6987	6
248	7384	12
111	7955	28
446	541	24
2100	2313	22
