Name,Average.coverage,Reference.length
2817,28.131,3666
2828,0.494,3045
2869,33.269,3612
2874,0.407,1849
2890,19.643,3576
2911,1.054,3424
2931,0.085,3522
2942,1.311,2068
2948,38.659,3516
2954,0.533,3456
2964,0.539,1673
2988,1.066,2814
3005,1.113,3239
3014,0.151,3388
3056,0.484,3113
3058,13.901,3388
3064,0.359,3138
3084,176.625,3369
3092,0.183,3162
3106,0.499,2702
3111,0.110,2734
3119,1.076,3212
3126,20.063,3317
3128,0.045,2969
3150,37.864,3298
3202,0.885,2174
3206,84.944,3252
3219,21.216,3245
3234,0.367,3052
3237,0.255,3016
3241,0.265,3114
3243,0.877,3231
3245,24.941,3230
3255,0.336,1790
3264,0.798,3017
3279,28.442,3201
3285,7.027,3035
3306,39.287,3170
3311,1.009,3132
3328,38.563,3152
3331,0.754,3148
3332,24.163,3147
3337,0.843,2858
3354,0.361,2767
3362,0.512,3116
3368,1.714,3074
3376,41.825,3105
3379,0.525,2516
3385,32.565,3081
3398,85.031,3087
3401,1.443,2699
3408,1.024,2622
3409,0.130,2310
3418,0.922,2942
3435,0.128,2362
3442,18.688,3053
3444,0.354,2968
3450,0.206,2932
3456,19.998,3038
3508,26.788,3011
3526,30.006,2998
3533,1.021,2588
3546,35.431,2986
3556,27.663,2980
3574,0.158,1913
3576,0.420,717
3589,18.933,2954
3598,1.227,2881
3643,0.745,2768
3656,0.948,2701
3662,61.121,2902
3666,0.293,2877
3679,0.173,1740
3692,21.465,2884
3707,50.651,2876
3712,1.112,2166
3733,33.068,2859
3735,0.862,2622
3755,25.591,2835
3772,24.674,2835
3778,59.322,2830
3788,1.095,2746
3804,0.895,2177
3809,1.377,2187
3812,0.413,1456
3813,0.515,1173
3819,37.246,2805
3822,0.326,2774
3828,0.812,313
3837,21.458,2794
3852,0.723,2039
3866,0.282,2665
3867,0.050,2079
3879,42.454,2761
3890,39.723,2756
3899,46.677,2750
3917,0.496,2705
3925,27.936,2733
3929,65.163,2730
3938,0.493,1527
3952,0.608,2711
3963,0.028,2709
3974,29.365,2703
3980,19.980,2699
3984,33.070,2696
3992,0.731,2677
4027,106.115,2669
4031,0.106,1417
4037,1.101,2050
4058,0.434,2470
4067,1.218,2591
4072,0.475,1269
4100,59.527,2626
4128,30.566,2610
4145,1.035,2599
4166,42.906,2592
4167,0.950,1904
4168,0.424,2483
4182,28.062,2584
4186,0.835,2523
4195,0.274,2197
4211,25.833,2569
4229,24.581,2561
4236,99.831,2554
4262,26.959,2537
4279,72.301,2528
4298,27.697,2518
4322,23.565,2506
4326,0.676,2230
4373,0.157,2197
4390,1.273,2362
4392,22.699,2469
4421,21.532,2453
4431,1.323,2274
4438,24.724,2446
4450,0.593,1853
4455,0.521,2207
4457,0.294,2049
4480,0.660,2430
4529,1.006,1495
4553,0.265,2269
4590,0.763,2346
4596,0.628,479
4599,0.135,2226
4625,1.074,2269
4638,18.913,2356
4660,0.247,2348
4680,0.399,2055
4731,26.782,2321
4736,30.731,2318
4741,0.531,1136
4752,0.367,2209
4762,0.459,2296
4768,30.096,2306
4783,0.685,1430
4789,22.121,2297
4794,0.795,1325
4817,19.210,2286
4826,1.223,1122
4846,0.599,2016
4851,0.482,1857
4880,1.260,2108
4885,37.631,2261
4900,24.500,2256
4901,29.463,2256
4943,1.699,2240
4952,0.626,2169
4978,0.405,2229
5019,69.656,2217
5034,30.851,2210
5091,33.113,2189
5092,0.141,2137
5094,0.145,2070
5112,49.263,2181
5141,0.922,1798
5166,0.608,1941
5185,70.345,2157
5233,18.622,2141
5241,0.468,2054
5247,27.089,2136
5265,28.824,2132
5278,25.651,2127
5296,1.753,430
5297,33.591,2121
5298,0.427,2121
5304,0.625,1919
5366,33.865,2096
5374,1.066,2044
5382,0.339,2092
5397,0.208,1449
5412,17.677,2083
5420,0.380,1981
5421,27.977,2081
5423,1.466,1542
5435,2.861,438
5441,0.569,2077
5442,0.195,1540
5449,0.775,2076
5468,25.251,2071
5493,0.218,2024
5494,0.332,2032
5495,33.134,2062
5533,0.371,1620
5538,0.946,1285
5580,0.411,1454
5590,24.278,2036
5707,24.803,1998
5787,0.825,1826
5805,0.952,1898
5811,20.608,1969
5829,1.016,1063
5833,34.277,1963
5847,0.338,1784
5866,20.961,1954
5883,47.214,1948
5910,0.836,360
5918,0.282,1063
5939,20.325,1933
5970,0.527,1141
6073,0.954,1735
6129,91.947,1882
6138,0.834,1791
6139,21.761,1879
6144,35.773,1878
6145,26.127,1878
6156,0.605,496
6161,17.767,1874
6176,0.645,1832
6187,1.116,1844
6193,0.722,209
6291,1.198,1843
6292,0.389,1552
6309,70.721,1839
6421,23.073,1811
6422,0.600,1756
6533,53.402,1780
6637,0.718,1470
6638,20.964,1759
6655,0.034,987
6680,36.815,1750
6724,95.659,1741
6757,24.358,1733
6804,192.970,1724
6826,0.615,977
6828,138.557,1718
6865,26.758,1711
6868,1.057,1421
6884,0.043,1225
6926,1.158,1560
6952,0.438,1371
6970,0.807,1682
6971,0.834,1624
6986,1.485,1200
6998,0.851,1579
6999,0.669,1573
7005,0.183,1646
7027,49.585,1681
7038,0.888,340
7108,0.254,1190
7116,29.423,1665
7136,0.219,1369
7137,28.692,1661
7165,18.275,1656
7216,0.581,463
7263,0.259,1158
7323,24.528,1630
7371,0.771,389
7453,0.403,1496
7556,0.536,1441
7575,23.921,1587
7617,48.509,1581
7655,25.594,1576
7672,62.965,1574
7700,0.290,1042
7733,25.895,1563
7764,0.759,395
7807,0.853,1518
7877,0.838,1058
7878,26.934,1542
7911,0.514,1170
7922,0.815,685
7933,1.084,1110
7955,503.645,1531
7981,1.113,1466
8040,0.327,920
8063,0.891,846
8085,0.398,1512
8104,0.101,1495
8167,0.576,1045
8194,2.805,1366
8212,1.748,775
8218,0.883,341
8221,0.131,1060
8245,25.774,1489
8246,33.979,1489
8279,1.149,1360
8350,81.804,1474
8414,23.954,1467
8415,20.410,1467
8442,27.600,1462
8467,0.951,1228
8479,1.391,586
8495,0.447,1240
8496,18.691,1454
8539,0.382,790
8657,6.138,1431
8667,20.229,1430
8675,0.720,1429
8689,25.204,1428
8730,1.030,799
8755,0.637,1417
8786,0.864,1180
8868,0.837,355
8896,0.538,1121
8940,36.886,1380
8952,441.446,1400
8961,1.031,1399
9029,1.082,1392
9051,0.687,1093
9127,0.591,1380
9173,0.112,1347
9186,1.675,274
9266,145.514,1365
9267,103.614,1365
9272,0.500,1202
9326,0.847,712
9406,1.276,942
9538,0.360,1246
9554,0.808,1305
9576,327.610,1335
9577,18.958,1335
9608,34.510,1332
9699,31.224,1323
9761,11.077,1294
9802,21.197,1313
9825,0.218,1311
9910,18.279,1304
9974,0.250,1209
10021,0.130,1158
10079,46.055,1290
10220,0.402,752
10221,20.294,1278
10290,76.778,1273
10320,67.176,1271
10338,50.585,1270
10351,0.802,913
10382,22.174,1267
10438,2.169,1234
10506,1.292,1256
10713,34.038,1238
10749,82.849,1235
10797,375.737,1231
10879,40.037,1226
10890,0.339,1225
10934,0.146,1027
10949,1.243,1090
10963,0.435,347
10964,0.482,625
11044,2.083,551
11089,268.973,1210
11306,1.289,698
11324,16.652,1192
11380,0.834,1184
11395,0.344,1187
11454,18.354,1180
11498,0.131,1143
11649,5.621,1170
11650,0.749,1007
11728,1.414,1065
11789,503.450,1161
11825,58.372,1158
11851,0.491,1139
11852,0.434,1038
11884,0.522,578
11936,1.958,1087
11937,0.792,1149
11949,17.224,1148
11966,0.893,1013
12042,0.453,667
12196,1.005,1020
12227,249.065,1131
12228,0.609,1128
12352,21.071,1122
12398,46.384,1119
12486,0.466,639
12518,1.120,527
12594,1.686,357
12610,0.427,707
12715,1.883,973
12809,0.868,798
12895,1.200,1000
12981,1.144,1087
13185,40.258,1076
13334,0.563,1067
13396,1.097,1054
13469,17.187,1060
13522,0.357,843
13636,0.302,1000
13714,0.717,629
13752,1.285,302
14255,2.080,941
14354,4.142,1015
14366,1.065,989
14384,18.115,1013
14405,24.525,1012
14508,35.939,1007
14608,0.861,855
